one= 0 (-nan) five= 0 (-nan) ten= 0 (-nan) distintos= 0 (-nan)
one= 39 (0.0252427) five= 274 (0.177346) ten= 470 (0.304207) distintos= 108 (0.0699029)
one= 44 (0.0286272) five= 275 (0.17892) ten= 476 (0.309694) distintos= 109 (0.0709174)
one= 36 (0.0232708) five= 269 (0.173885) ten= 448 (0.289593) distintos= 111 (0.0717518)
one= 50 (0.0327869) five= 288 (0.188852) ten= 486 (0.318689) distintos= 109 (0.0714754)
one= 41 (0.0265029) five= 280 (0.180995) ten= 478 (0.308985) distintos= 108 (0.0698125)
one= 47 (0.0305393) five= 291 (0.189084) ten= 476 (0.309292) distintos= 106 (0.0688759)
one= 21 (0.0801527) five= 26 (0.0992366) ten= 31 (0.118321) distintos= 40 (0.152672)
one= 19 (0.0722433) five= 25 (0.095057) ten= 28 (0.106464) distintos= 43 (0.163498)
one= 18 (0.0692308) five= 25 (0.0961538) ten= 27 (0.103846) distintos= 45 (0.173077)
one= 19 (0.0733591) five= 24 (0.0926641) ten= 25 (0.0965251) distintos= 44 (0.169884)
one= 21 (0.0783582) five= 26 (0.0970149) ten= 29 (0.108209) distintos= 43 (0.160448)
one= 19 (0.0703704) five= 25 (0.0925926) ten= 31 (0.114815) distintos= 43 (0.159259)
one= 20 (0.0784314) five= 28 (0.109804) ten= 32 (0.12549) distintos= 34 (0.133333)
one= 17 (0.0648855) five= 24 (0.0916031) ten= 27 (0.103053) distintos= 39 (0.148855)
one= 18 (0.0722892) five= 23 (0.0923695) ten= 26 (0.104418) distintos= 32 (0.128514)
one= 17 (0.0661479) five= 25 (0.0972763) ten= 28 (0.108949) distintos= 36 (0.140078)
one= 3 (0.0198675) five= 8 (0.0529801) ten= 13 (0.0860927) distintos= 10 (0.0662252)
one= 2 (0.0128205) five= 7 (0.0448718) ten= 13 (0.0833333) distintos= 13 (0.0833333)
one= 2 (0.0127389) five= 4 (0.0254777) ten= 12 (0.0764331) distintos= 15 (0.0955414)
one= 2 (0.013245) five= 9 (0.0596026) ten= 14 (0.0927152) distintos= 15 (0.0993377)
