mayor= 0 (-nan) menor= 0 (-nan) igual= 0 (-nan)
mayor= 148 (0.980132) menor= 1 (0.00662252) igual= 2 (0.013245)
mayor= 153 (0.980769) menor= 1 (0.00641026) igual= 2 (0.0128205)
mayor= 154 (0.980892) menor= 1 (0.00636943) igual= 2 (0.0127389)
mayor= 149 (0.986755) menor= 0 (0) igual= 2 (0.013245)
mayor= 155 (0.981013) menor= 1 (0.00632911) igual= 2 (0.0126582)
mayor= 147 (0.98) menor= 1 (0.00666667) igual= 2 (0.0133333)
mayor= 151 (0.980519) menor= 1 (0.00649351) igual= 2 (0.012987)
mayor= 145 (0.993151) menor= 0 (0) igual= 1 (0.00684932)
mayor= 156 (0.981132) menor= 1 (0.00628931) igual= 2 (0.0125786)
mayor= 153 (0.980769) menor= 1 (0.00641026) igual= 2 (0.0128205)
mayor= 127 (0.947761) menor= 6 (0.0447761) igual= 1 (0.00746269)
mayor= 118 (0.951613) menor= 5 (0.0403226) igual= 1 (0.00806452)
mayor= 122 (0.96063) menor= 4 (0.0314961) igual= 1 (0.00787402)
mayor= 109 (0.915966) menor= 9 (0.0756303) igual= 1 (0.00840336)
mayor= 116 (0.935484) menor= 7 (0.0564516) igual= 1 (0.00806452)
mayor= 114 (0.942149) menor= 6 (0.0495868) igual= 1 (0.00826446)
mayor= 123 (0.931818) menor= 8 (0.0606061) igual= 1 (0.00757576)
mayor= 113 (0.933884) menor= 8 (0.0661157) igual= 0 (0)
mayor= 124 (0.946565) menor= 6 (0.0458015) igual= 1 (0.00763359)
mayor= 125 (0.932836) menor= 7 (0.0522388) igual= 2 (0.0149254)
mayor= 65 (0.915493) menor= 4 (0.056338) igual= 2 (0.028169)
mayor= 63 (0.913043) menor= 4 (0.057971) igual= 2 (0.0289855)
mayor= 72 (0.935065) menor= 3 (0.038961) igual= 2 (0.025974)
mayor= 70 (0.945946) menor= 2 (0.027027) igual= 2 (0.027027)
mayor= 67 (0.943662) menor= 2 (0.028169) igual= 2 (0.028169)
mayor= 70 (0.945946) menor= 2 (0.027027) igual= 2 (0.027027)
mayor= 72 (0.947368) menor= 2 (0.0263158) igual= 2 (0.0263158)
mayor= 76 (0.962025) menor= 2 (0.0253165) igual= 1 (0.0126582)
mayor= 69 (0.932432) menor= 3 (0.0405405) igual= 2 (0.027027)
mayor= 69 (0.92) menor= 5 (0.0666667) igual= 1 (0.0133333)
mayor= 900 (0.992282) menor= 7 (0.00771775) igual= 0 (0)
mayor= 902 (0.993392) menor= 6 (0.00660793) igual= 0 (0)
mayor= 898 (0.993363) menor= 6 (0.00663717) igual= 0 (0)
mayor= 899 (0.992274) menor= 7 (0.00772627) igual= 0 (0)
mayor= 916 (0.993492) menor= 6 (0.00650759) igual= 0 (0)
mayor= 893 (0.993326) menor= 6 (0.00667408) igual= 0 (0)
mayor= 894 (0.994438) menor= 5 (0.00556174) igual= 0 (0)
mayor= 899 (0.992274) menor= 7 (0.00772627) igual= 0 (0)
mayor= 903 (0.992308) menor= 6 (0.00659341) igual= 1 (0.0010989)
mayor= 905 (0.993414) menor= 6 (0.00658617) igual= 0 (0)
mayor= 17 (0.138211) menor= 18 (0.146341) igual= 88 (0.715447)
mayor= 16 (0.136752) menor= 16 (0.136752) igual= 85 (0.726496)
mayor= 17 (0.141667) menor= 17 (0.141667) igual= 86 (0.716667)
mayor= 17 (0.140496) menor= 16 (0.132231) igual= 88 (0.727273)
mayor= 16 (0.134454) menor= 17 (0.142857) igual= 86 (0.722689)
mayor= 21 (0.173554) menor= 15 (0.123967) igual= 85 (0.702479)
mayor= 16 (0.130081) menor= 19 (0.154472) igual= 88 (0.715447)
mayor= 17 (0.141667) menor= 17 (0.141667) igual= 86 (0.716667)
mayor= 16 (0.136752) menor= 18 (0.153846) igual= 83 (0.709402)
mayor= 17 (0.139344) menor= 15 (0.122951) igual= 90 (0.737705)
mayor= 13 (0.65) menor= 3 (0.15) igual= 4 (0.2)
mayor= 14 (0.666667) menor= 2 (0.0952381) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 2 (0.1) igual= 5 (0.25)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 12 (0.571429) menor= 4 (0.190476) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 3 (0.15) igual= 4 (0.2)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 14 (0.666667) menor= 2 (0.0952381) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 3 (0.15) igual= 4 (0.2)
mayor= 14 (0.666667) menor= 2 (0.0952381) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 2 (0.1) igual= 5 (0.25)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 12 (0.571429) menor= 4 (0.190476) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 3 (0.15) igual= 4 (0.2)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 14 (0.666667) menor= 2 (0.0952381) igual= 5 (0.238095)
